date,unit_group_id,occupied_units,move_ins,move_outs,street_rate,promo,days_since_last_vacancy_spike
2024-01-05,UG-025,47,3.0,1.0,75.28,,
2024-01-05,UG-026,74,,2.0,113.52,,
2024-01-05,UG-027,34,,,204.1,,
2024-01-05,UG-028,64,2.0,,73.64,,
2024-01-05,UG-029,96,1.0,2.0,111.77,,
2024-01-05,UG-030,43,1.0,,177.25,,
2024-01-05,UG-031,40,1.0,1.0,73.38,,
2024-01-05,UG-032,78,2.0,,112.38,,
2024-01-05,UG-033,29,,2.0,204.4,,
2024-01-05,UG-034,59,1.0,,68.02,,
2024-01-05,UG-035,86,,,126.84,,
2024-01-05,UG-036,34,,1.0,207.13,,
2024-01-05,UG-037,57,,1.0,61.59,,
2024-01-05,UG-038,90,3.0,,113.09,,
2024-01-05,UG-039,43,,,180.53,,
2024-01-05,UG-040,65,,1.0,72.41,,
2024-01-05,UG-041,97,2.0,,130.51,,
2024-01-05,UG-042,42,1.0,,201.66,,
2024-01-06,UG-001,68,,,75.66,,
2024-01-06,UG-002,79,,,133.48,,
2024-01-06,UG-003,42,1.0,1.0,171.01,,
2024-01-06,UG-004,42,2.0,,72.09,first_month_half_off,
2024-01-06,UG-005,74,,,116.04,,
2024-01-06,UG-006,27,,4.0,196.38,,
2024-01-06,UG-010,68,1.0,,69.86,,
2024-01-06,UG-011,98,1.0,1.0,116.47,,
2024-01-06,UG-012,43,1.0,3.0,174.37,,
2024-01-06,UG-013,50,,,60.2,,
2024-01-06,UG-014,75,2.0,1.0,110.23,,
2024-01-06,UG-015,37,1.0,1.0,189.5,,
2024-01-06,UG-016,62,1.0,,67.46,,
2024-01-06,UG-017,90,1.0,1.0,112.99,,
2024-01-06,UG-018,40,,,191.99,,
2024-01-06,UG-019,47,2.0,,63.94,,
2024-01-06,UG-020,70,,2.0,119.56,,
2024-01-06,UG-021,35,1.0,1.0,167.27,,
2024-01-06,UG-022,66,1.0,,73.16,,
2024-01-06,UG-023,92,1.0,1.0,126.04,,
2024-01-06,UG-024,35,1.0,,205.73,,
2024-01-06,UG-025,46,,1.0,75.28,,
2024-01-06,UG-026,74,1.0,1.0,113.52,,
2024-01-06,UG-027,34,1.0,1.0,204.1,,
2024-01-06,UG-028,64,,,73.64,,
2024-01-06,UG-029,95,,1.0,111.77,,
2024-01-06,UG-030,44,1.0,,177.25,,
2024-01-06,UG-031,40,,,73.38,,
2024-01-06,UG-032,79,1.0,,112.38,,
2024-01-06,UG-033,28,,1.0,204.4,,
2024-01-06,UG-034,58,,1.0,68.02,,
2024-01-06,UG-035,86,,,126.84,,
2024-01-06,UG-036,33,,1.0,207.13,,
2024-01-06,UG-037,57,1.0,1.0,61.59,,
2024-01-06,UG-038,91,1.0,,113.09,,
2024-01-06,UG-039,42,,1.0,180.53,,
2024-01-06,UG-040,65,,,72.41,,
2024-01-06,UG-041,98,1.0,,130.51,,
2024-01-06,UG-042,42,1.0,1.0,201.66,,
2024-01-07,UG-001,68,,,75.66,,
2024-01-07,UG-002,80,1.0,,133.48,,
2024-01-07,UG-003,42,1.0,1.0,171.01,,
2024-01-07,UG-004,43,1.0,,72.09,first_month_half_off,
2024-01-07,UG-005,72,,2.0,116.04,,
2024-01-07,UG-006,28,1.0,,196.38,,
2024-01-07,UG-010,68,1.0,1.0,69.86,,
2024-01-07,UG-011,97,,1.0,116.47,,
2024-01-07,UG-012,43,,,174.37,,
2024-01-07,UG-013,51,1.0,,60.2,,
2024-01-07,UG-014,73,,2.0,110.23,,
2024-01-07,UG-015,38,1.0,,189.5,,
2024-01-07,UG-016,62,,,67.46,,
2024-01-07,UG-017,89,,1.0,112.99,,
2024-01-07,UG-018,40,1.0,1.0,191.99,,
2024-01-07,UG-019,47,,,63.94,first_month_half_off,
2024-01-07,UG-020,73,3.0,,119.56,,
2024-01-07,UG-021,38,3.0,,167.27,,
2024-01-07,UG-022,66,,,73.16,,
2024-01-07,UG-023,92,2.0,2.0,126.04,,
2024-01-07,UG-024,36,1.0,,205.73,,
2024-01-07,UG-025,47,1.0,,75.28,,
2024-01-07,UG-026,72,,2.0,113.52,,
2024-01-07,UG-027,35,1.0,,204.1,,
2024-01-07,UG-028,64,,,73.64,,
2024-01-07,UG-029,94,,1.0,111.77,,
2024-01-07,UG-030,43,,1.0,177.25,,
2024-01-07,UG-031,39,1.0,2.0,73.38,,
2024-01-07,UG-032,80,1.0,,112.38,,
2024-01-07,UG-033,29,1.0,,204.4,,
2024-01-07,UG-034,58,,,68.02,,
2024-01-07,UG-035,85,,1.0,126.84,,
2024-01-07,UG-036,33,2.0,2.0,207.13,,
2024-01-07,UG-037,56,,1.0,61.59,,
2024-01-07,UG-038,90,1.0,2.0,113.09,,
2024-01-07,UG-039,42,1.0,1.0,180.53,,
2024-01-07,UG-040,64,,1.0,72.41,,
2024-01-07,UG-041,101,3.0,,130.51,,
2024-01-07,UG-042,45,3.0,,201.66,,
2024-01-08,UG-001,67,,1.0,75.66,,
2024-01-08,UG-002,81,1.0,,133.48,,
2024-01-08,UG-003,41,,1.0,171.01,,
2024-01-08,UG-004,43,,,72.09,first_month_half_off,
2024-01-08,UG-005,72,,,116.87,,
2024-01-08,UG-006,27,1.0,2.0,196.38,,
2024-01-08,UG-010,68,,,71.39,,
2024-01-08,UG-011,100,3.0,,117.48,,
2024-01-08,UG-012,42,2.0,3.0,176.88,,
2024-01-08,UG-013,49,,2.0,61.31,,
2024-01-08,UG-014,74,1.0,,110.72,,
2024-01-08,UG-015,38,,,189.5,,
2024-01-08,UG-016,61,,1.0,67.87,,
2024-01-08,UG-017,87,,2.0,114.11,,
2024-01-08,UG-018,39,,1.0,195.51,,
2024-01-08,UG-019,48,1.0,,65.47,first_month_half_off,
2024-01-08,UG-020,75,2.0,,119.56,,
2024-01-08,UG-021,38,,,170.01,,
2024-01-08,UG-022,65,1.0,2.0,73.77,,
2024-01-08,UG-023,94,4.0,2.0,126.04,,
2024-01-08,UG-024,35,,1.0,205.73,,
2024-01-08,UG-025,48,1.0,,75.28,,
2024-01-08,UG-026,72,1.0,1.0,112.95,,
2024-01-08,UG-027,35,,,204.1,,
2024-01-08,UG-028,63,,1.0,73.64,,
2024-01-08,UG-029,94,1.0,1.0,113.7,,
2024-01-08,UG-030,43,,,177.25,,
2024-01-08,UG-031,38,,1.0,72.81,,
2024-01-08,UG-032,80,1.0,1.0,114.77,,
2024-01-08,UG-033,28,,1.0,207.13,,
2024-01-08,UG-034,57,,1.0,68.82,,
2024-01-08,UG-035,85,,,128.42,,
2024-01-08,UG-036,32,,1.0,206.24,,
2024-01-08,UG-037,57,1.0,,62.0,,
2024-01-08,UG-038,91,1.0,,113.09,,
2024-01-08,UG-039,41,,1.0,180.53,,
2024-01-08,UG-040,64,,,74.18,,
2024-01-08,UG-041,98,2.0,5.0,130.51,,
2024-01-08,UG-042,44,,1.0,205.36,,
2024-01-09,UG-001,67,1.0,1.0,75.66,,
2024-01-09,UG-002,81,2.0,2.0,133.48,,
2024-01-09,UG-003,41,1.0,1.0,171.01,,
2024-01-09,UG-004,45,2.0,,72.09,first_month_half_off,
2024-01-09,UG-005,74,2.0,,116.87,,
2024-01-09,UG-006,27,,,196.38,,
2024-01-09,UG-010,67,,1.0,71.39,,
2024-01-09,UG-011,98,,2.0,117.48,,
2024-01-09,UG-012,41,,1.0,176.88,,
2024-01-09,UG-013,50,2.0,1.0,61.31,,
2024-01-09,UG-014,76,2.0,,110.72,,
2024-01-09,UG-015,40,2.0,,189.5,,
2024-01-09,UG-016,60,,1.0,67.87,,
2024-01-09,UG-017,86,1.0,2.0,114.11,,
2024-01-09,UG-018,41,2.0,,195.51,,
2024-01-09,UG-019,48,,,65.47,first_month_half_off,
2024-01-09,UG-020,75,,,119.56,,
2024-01-09,UG-021,37,,1.0,170.01,,
2024-01-09,UG-022,66,1.0,,73.77,,
2024-01-09,UG-023,94,1.0,1.0,126.04,,
2024-01-09,UG-024,33,1.0,3.0,205.73,,
2024-01-09,UG-025,47,,1.0,75.28,,
2024-01-09,UG-026,70,,2.0,112.95,,
2024-01-09,UG-027,36,2.0,1.0,204.1,,
2024-01-09,UG-028,63,,,73.64,,
2024-01-09,UG-029,94,3.0,3.0,113.7,,
2024-01-09,UG-030,42,,1.0,177.25,,
2024-01-09,UG-031,39,1.0,,72.81,,
2024-01-09,UG-032,77,1.0,4.0,114.77,,
2024-01-09,UG-033,27,,1.0,207.13,,
2024-01-09,UG-034,59,2.0,,68.82,,
2024-01-09,UG-035,81,,4.0,128.42,,
2024-01-09,UG-036,32,,,206.24,,
2024-01-09,UG-037,57,,,62.0,,
2024-01-09,UG-038,89,,2.0,113.09,,
2024-01-09,UG-039,40,,1.0,180.53,,
2024-01-09,UG-040,65,2.0,1.0,74.18,,
2024-01-09,UG-041,96,1.0,3.0,130.51,,
2024-01-09,UG-042,46,2.0,,205.36,,
2024-01-10,UG-001,64,,3.0,75.66,,
2024-01-10,UG-002,80,2.0,3.0,133.48,,
2024-01-10,UG-003,39,1.0,3.0,171.01,,
2024-01-10,UG-004,44,,1.0,72.09,first_month_half_off,
2024-01-10,UG-005,73,,1.0,116.87,,
2024-01-10,UG-006,27,1.0,1.0,196.38,,
2024-01-10,UG-010,69,2.0,,71.39,,
2024-01-10,UG-011,98,1.0,1.0,117.48,,
2024-01-10,UG-012,42,2.0,1.0,176.88,,
2024-01-10,UG-013,50,,,61.31,,
2024-01-10,UG-014,76,1.0,1.0,110.72,,
2024-01-10,UG-015,40,2.0,2.0,189.5,,
2024-01-10,UG-016,61,2.0,1.0,67.87,,
2024-01-10,UG-017,89,3.0,,114.11,,
2024-01-10,UG-018,41,1.0,1.0,195.51,,
2024-01-10,UG-019,47,,1.0,65.47,first_month_half_off,
2024-01-10,UG-020,74,2.0,3.0,119.56,,
2024-01-10,UG-021,38,1.0,,170.01,,
2024-01-10,UG-022,66,1.0,1.0,73.77,,
2024-01-10,UG-023,93,2.0,3.0,126.04,,
2024-01-10,UG-024,35,2.0,,205.73,,
2024-01-10,UG-025,48,1.0,,75.28,,
2024-01-10,UG-026,71,1.0,,112.95,,
2024-01-10,UG-027,37,3.0,2.0,204.1,,
2024-01-10,UG-028,63,1.0,1.0,73.64,,
2024-01-10,UG-029,94,,,113.7,,
2024-01-10,UG-030,45,3.0,,177.25,,
2024-01-10,UG-031,39,1.0,1.0,72.81,,
2024-01-10,UG-032,77,,,114.77,,
2024-01-10,UG-033,27,,,207.13,,
2024-01-10,UG-034,60,1.0,,68.82,,
2024-01-10,UG-035,81,,,128.42,,
2024-01-10,UG-036,31,,1.0,206.24,,
2024-01-10,UG-037,57,,,62.0,,
2024-01-10,UG-038,90,1.0,,113.09,,
2024-01-10,UG-039,38,,2.0,180.53,,
2024-01-10,UG-040,67,2.0,,74.18,,
2024-01-10,UG-041,95,,1.0,130.51,,
2024-01-10,UG-042,47,1.0,,205.36,,
2024-01-11,UG-001,63,,1.0,75.66,,
2024-01-11,UG-002,81,1.0,,133.48,,
2024-01-11,UG-003,40,1.0,,171.01,,
2024-01-11,UG-004,44,,,72.09,first_month_half_off,
2024-01-11,UG-005,73,,,116.87,,
2024-01-11,UG-006,26,,1.0,196.38,,
2024-01-11,UG-010,70,1.0,,71.39,,
2024-01-11,UG-011,95,,3.0,117.48,,
2024-01-11,UG-012,40,1.0,3.0,176.88,,
2024-01-11,UG-013,51,3.0,2.0,61.31,,
2024-01-11,UG-014,75,,1.0,110.72,,
2024-01-11,UG-015,40,,,189.5,,
2024-01-11,UG-016,60,,1.0,67.87,,
2024-01-11,UG-017,88,1.0,2.0,114.11,,
2024-01-11,UG-018,41,2.0,2.0,195.51,,
2024-01-11,UG-019,48,1.0,,65.47,first_month_half_off,
2024-01-11,UG-020,75,1.0,,119.56,,
2024-01-11,UG-021,36,,2.0,170.01,,
2024-01-11,UG-022,66,,,73.77,,
2024-01-11,UG-023,92,1.0,2.0,126.04,,
2024-01-11,UG-024,39,4.0,,205.73,,
2024-01-11,UG-025,48,,,75.28,,
2024-01-11,UG-026,68,,3.0,112.95,,
2024-01-11,UG-027,35,1.0,3.0,204.1,,
2024-01-11,UG-028,61,,2.0,73.64,,
2024-01-11,UG-029,94,,,113.7,,
2024-01-11,UG-030,45,,,177.25,,
2024-01-11,UG-031,38,,1.0,72.81,,
2024-01-11,UG-032,76,,1.0,114.77,,
2024-01-11,UG-033,27,,,207.13,,
2024-01-11,UG-034,60,,,68.82,,
2024-01-11,UG-035,80,,1.0,128.42,,
2024-01-11,UG-036,28,,3.0,206.24,,
2024-01-11,UG-037,57,,,62.0,,
2024-01-11,UG-038,89,,1.0,113.09,,
2024-01-11,UG-039,38,1.0,1.0,180.53,,
2024-01-11,UG-040,69,2.0,,74.18,,
2024-01-11,UG-041,95,,,130.51,,
2024-01-11,UG-042,47,,,205.36,,
2024-01-12,UG-001,62,,1.0,75.66,,
2024-01-12,UG-002,83,3.0,1.0,133.48,,
2024-01-12,UG-003,40,1.0,1.0,171.01,,
2024-01-12,UG-004,42,,2.0,72.09,first_month_half_off,
2024-01-12,UG-005,74,2.0,1.0,116.87,,
2024-01-12,UG-006,26,,,196.38,,
2024-01-12,UG-010,71,3.0,2.0,71.39,,
2024-01-12,UG-011,92,,3.0,117.48,,
2024-01-12,UG-012,41,1.0,,176.88,,
2024-01-12,UG-013,52,1.0,,61.31,,
2024-01-12,UG-014,75,,,110.72,,
2024-01-12,UG-015,40,1.0,1.0,189.5,,
2024-01-12,UG-016,59,,1.0,67.87,,
2024-01-12,UG-017,89,3.0,2.0,114.11,,
2024-01-12,UG-018,41,1.0,1.0,195.51,,
2024-01-12,UG-019,52,4.0,,65.47,first_month_half_off,
2024-01-12,UG-020,75,1.0,1.0,119.56,,
2024-01-12,UG-021,38,2.0,,170.01,,
2024-01-12,UG-022,67,3.0,2.0,73.77,,
2024-01-12,UG-023,92,1.0,1.0,126.04,,
2024-01-12,UG-024,40,1.0,,205.73,,
2024-01-12,UG-025,47,,1.0,75.28,,
2024-01-12,UG-026,67,1.0,2.0,112.95,,
2024-01-12,UG-027,32,,3.0,204.1,,
2024-01-12,UG-028,62,2.0,1.0,73.64,,
2024-01-12,UG-029,95,1.0,,113.7,,
2024-01-12,UG-030,45,2.0,2.0,177.25,,
2024-01-12,UG-031,40,2.0,,72.81,,
2024-01-12,UG-032,74,,2.0,114.77,,
2024-01-12,UG-033,27,,,207.13,,
2024-01-12,UG-034,60,,,68.82,,
2024-01-12,UG-035,79,,1.0,128.42,,
2024-01-12,UG-036,28,,,206.24,,
2024-01-12,UG-037,57,,,62.0,,
2024-01-12,UG-038,89,1.0,1.0,113.09,,
2024-01-12,UG-039,38,1.0,1.0,180.53,,
2024-01-12,UG-040,69,,,74.18,,
2024-01-12,UG-041,98,4.0,1.0,130.51,,
2024-01-12,UG-042,48,2.0,1.0,205.36,,
2024-01-13,UG-001,62,1.0,1.0,75.66,,
2024-01-13,UG-002,83,2.0,2.0,133.48,,
2024-01-13,UG-003,40,,,171.01,,
2024-01-13,UG-004,42,,,72.09,first_month_half_off,
2024-01-13,UG-005,75,1.0,,116.87,,
2024-01-13,UG-006,26,1.0,1.0,196.38,,
2024-01-13,UG-010,70,,1.0,71.39,,
2024-01-13,UG-011,92,,,117.48,,
2024-01-13,UG-012,40,,1.0,176.88,,
2024-01-13,UG-013,55,3.0,,61.31,,
2024-01-13,UG-014,76,1.0,,110.72,,
2024-01-13,UG-015,40,,,189.5,,
2024-01-13,UG-016,59,1.0,1.0,67.87,,
2024-01-13,UG-017,90,1.0,,114.11,,
2024-01-13,UG-018,40,,1.0,195.51,,
2024-01-13,UG-019,51,,1.0,65.47,first_month_half_off,
2024-01-13,UG-020,73,,2.0,119.56,,
2024-01-13,UG-021,38,,,170.01,,
2024-01-13,UG-022,67,1.0,1.0,73.77,,
2024-01-13,UG-023,92,,,126.04,,
2024-01-13,UG-024,40,1.0,1.0,205.73,,
2024-01-13,UG-025,48,2.0,1.0,75.28,,
2024-01-13,UG-026,67,,,112.95,,
2024-01-13,UG-027,35,3.0,,204.1,,
2024-01-13,UG-028,62,,,73.64,,
2024-01-13,UG-029,95,,,113.7,,
2024-01-13,UG-030,45,,,177.25,,
2024-01-13,UG-031,40,,,72.81,,
2024-01-13,UG-032,74,,,114.77,,
2024-01-13,UG-033,27,,,207.13,,
2024-01-13,UG-034,59,,1.0,68.82,,
2024-01-13,UG-035,81,2.0,,128.42,,
2024-01-13,UG-036,29,1.0,,206.24,,
2024-01-13,UG-037,57,1.0,1.0,62.0,,
2024-01-13,UG-038,89,1.0,1.0,113.09,,
2024-01-13,UG-039,37,,1.0,180.53,,
2024-01-13,UG-040,68,,1.0,74.18,,
2024-01-13,UG-041,98,,,130.51,,
2024-01-13,UG-042,49,1.0,,205.36,,
2024-01-14,UG-001,62,,,75.66,,
2024-01-14,UG-002,83,,,133.48,,
2024-01-14,UG-003,39,,1.0,171.01,,
2024-01-14,UG-004,43,1.0,,72.09,first_month_half_off,
2024-01-14,UG-005,75,,,116.87,,
2024-01-14,UG-006,25,,1.0,196.38,,
2024-01-14,UG-010,69,,1.0,71.39,,
2024-01-14,UG-011,91,,1.0,117.48,,
2024-01-14,UG-012,42,2.0,,176.88,,
2024-01-14,UG-013,55,,,61.31,,
2024-01-14,UG-014,77,1.0,,110.72,,
2024-01-14,UG-015,40,,,189.5,,
2024-01-14,UG-016,58,1.0,2.0,67.87,,
2024-01-14,UG-017,90,,,114.11,,
2024-01-14,UG-018,41,1.0,,195.51,,
2024-01-14,UG-019,51,,,65.47,first_month_half_off,
2024-01-14,UG-020,73,,,119.56,,
2024-01-14,UG-021,38,,,170.01,,
2024-01-14,UG-022,69,2.0,,73.77,,
2024-01-14,UG-023,93,2.0,1.0,126.04,,
2024-01-14,UG-024,40,,,205.73,,
2024-01-14,UG-025,46,,2.0,75.28,,
2024-01-14,UG-026,67,1.0,1.0,112.95,,
2024-01-14,UG-027,35,,,204.1,,
2024-01-14,UG-028,62,,,73.64,,
2024-01-14,UG-029,95,,,113.7,,
2024-01-14,UG-030,44,,1.0,177.25,,
2024-01-14,UG-031,40,,,72.81,,
2024-01-14,UG-032,73,,1.0,114.77,,
2024-01-14,UG-033,27,,,207.13,,
2024-01-14,UG-034,60,1.0,,68.82,,
2024-01-14,UG-035,81,,,128.42,,
2024-01-14,UG-036,29,1.0,1.0,206.24,,
2024-01-14,UG-037,58,1.0,,62.0,,
2024-01-14,UG-038,89,,,113.09,,
2024-01-14,UG-039,36,,1.0,180.53,,
2024-01-14,UG-040,65,1.0,4.0,74.18,,
2024-01-14,UG-041,96,,2.0,130.51,,
2024-01-14,UG-042,49,1.0,1.0,205.36,,
